url,title,score,posterImagePath,certification,overview,tagline,genres,trailerUrl,language
https://www.themoviedb.org/tv/16286,"Yo soy Betty, la fea
(1999)",82.0,poster_final/16286.jpg,,"Yo soy Betty, la fea is a telenovela filmed in Colombia, written by Fernando Gaitán and produced from October 25, 1999 to May 8, 2001 by the Colombian network RCN. More than a dozen versions of the telenovela have been made in other countries. In the United States, both the comedy-drama hit Ugly Betty and Televisa program La Fea Más Bella are based on the Colombian soap opera.Betty, la Fea re-aired on Spanish-language U.S. network TeleFutura in January 2009. Eight years after the telenovela's original run, the highly anticipated return of the original version of Yo Soy Betty, La Fea delivered impressive ratings for the network, attracting over one million viewers, more than half a million of which were adults aged 18–49. In addition, the premiere episode doubled and in some cases nearly tripled its prior audience among all key demographics.Due to the success of re-runs aired in the United States, in June 2009, Yo soy Betty, la fea re-aired in México on Canal de las Estrellas.Betty, la Fea is arguably the most successful telenovela of all time and one of the most popular television shows in the world. It is the first telenovela to have been remade worldwide and has been regarded as bringing the telenovela to new levels of success.",,"Soap, Phim Hài, Phim Chính Kịch",,en
https://www.themoviedb.org/tv/14424,"Young Hearts
(1995)",35.0,poster_final/14424.jpg,,"Malhação is a Brazilian television series for the teenage audience. The soap started in 1995, and was set in a fictional Gym Club called Malhação on Barra da Tijuca, Rio de Janeiro. Through the years the location varied slightly. Although the name of the soap remains the same, it is now set in the Múltipla Escolha High School.",,Soap,,en
https://www.themoviedb.org/tv/90812,"Industry
(2020)",70.0,poster_final/90812.jpg,TV-MA,"In the cutthroat world of international finance, a group of young graduates compete for a limited set of permanent positions at a top investment bank in London. The boundaries between colleague, friend, lover, and enemy soon blur as they immerse themselves in a company culture defined as much by sex, drugs and ego as it is by deals and dividends.",Prove your worth.,Phim Chính Kịch,,en
https://www.themoviedb.org/tv/76773,"Station 19
(2018)",82.0,poster_final/76773.jpg,TV-14,"A group of heroic firefighters at Seattle Fire Station 19—from captain to newest recruit—risk their lives and hearts both in the line of duty and off the clock. These brave men and women are like family, literally and figuratively, and together they put their own lives in jeopardy as first responders to save the lives of others.",Courage under fire.,"Action & Adventure, Phim Chính Kịch",,en
https://www.themoviedb.org/tv/83851,"The Undoing
(2020)",77.0,poster_final/83851.jpg,TV-MA,"Grace and Jonathan Fraser are living the only lives they ever wanted. Overnight a chasm opens in their lives: a violent death and a chain of terrible revelations. Left behind in the wake of a spreading and very public disaster, Grace must dismantle one life and create another for her child and her family.",Nothing stays hidden.,"Phim Chính Kịch, Phim Hình Sự, Phim Bí Ẩn",,en
https://www.themoviedb.org/tv/71790,"S.W.A.T.
(2017)",76.0,poster_final/71790.jpg,TV-14,A locally born and bred S.W.A.T. lieutenant is torn between loyalty to the streets and duty to his fellow officers when he's tasked to run a highly-trained unit that's the last stop for solving crimes in Los Angeles.,Serve • Protect • Unite,"Action & Adventure, Phim Hình Sự, Phim Chính Kịch",,en
https://www.themoviedb.org/tv/66084,"Acapulco Shore
(2014)",79.0,poster_final/66084.jpg,TV-MA,A reality-based look at the vapid lives of several Mexican 20-somethings and their respective friends and/or hook-ups during their stay in Acapulco for a Summer vacation.,,Reality,,en
https://www.themoviedb.org/tv/70523,"Đêm Lặng
(2017)",84.0,poster_final/70523.jpg,16,Một đứa trẻ mất tích đặt bốn gia đình vào một cuộc săn lùng điên cuồng để tìm câu trả lời khi họ phát hiện một bí ẩn kinh hoàng kéo dài ba thế hệ.,Mọi thứ đều được kết nối với nhau.,"Sci-Fi & Fantasy, Phim Chính Kịch, Phim Bí Ẩn, Phim Hình Sự",,vi
https://www.themoviedb.org/tv/72305,"Kakegurui
(2017)",84.0,poster_final/72305.jpg,,"Hyakkaou Private Academy. An institution for the privileged with a very peculiar curriculum. You see, when you're the sons and daughters of the wealthiest of the wealthy, it's not athletic prowess or book smarts that keep you ahead. It's reading your opponent, the art of the deal. What better way to hone those skills than with a rigorous curriculum of gambling? At Hyakkaou Private Academy, the winners live like kings, and the losers are put through the wringer. But when Yumeko Jabami enrolls, she's gonna teach these kids what a high roller really looks like!",,"Action & Adventure, Phim Hoạt Hình, Phim Chính Kịch, Phim Bí Ẩn",,en
https://www.themoviedb.org/tv/34524,"Teen Wolf
(2011)",85.0,poster_final/34524.jpg,TV-14,"Scott McCall, a high school student living in the town of Beacon Hills has his life drastically changed when he's bitten by a werewolf, becoming one himself. He must henceforth learn to balance his problematic new identity with his day-to-day teenage life. The following characters are instrumental to his struggle: Stiles, his best friend; Allison, his love interest who comes from a family of werewolf hunters; and Derek, a mysterious werewolf with a dark past. Throughout the series, he strives to keep his loved ones safe while maintaining normal relationships with them.",Watch your pack.,"Sci-Fi & Fantasy, Phim Chính Kịch",,en
